file,country,frequency,dataset,period_min,period_max,nonempty_cells,series_count
Consumer Price Index (CPI).csv,Argentina,Quarterly,IMF.STA:CPI(5.0.0),2017-Q1,2026-Q2,1417,39
Consumer Price Index (CPI).csv,Argentina,Monthly,IMF.STA:CPI(5.0.0),2016-M12,2026-M06,4316,39
Consumer Price Index (CPI).csv,Uruguay,Quarterly,IMF.STA:CPI(5.0.0),1957-Q1,2026-Q2,1082,6
Consumer Price Index (CPI).csv,Ecuador,Monthly,IMF.STA:CPI(5.0.0),1957-M01,2026-M05,19804,66
Consumer Price Index (CPI).csv,Bolivia,Quarterly,IMF.STA:CPI(5.0.0),1957-Q1,2026-Q2,4118,42
Effective Exchange Rate (EER).csv,Brazil,Quarterly,IMF.STA:EER(6.0.0),1979-Q1,2026-Q2,376,2
Effective Exchange Rate (EER).csv,Brazil,Monthly,IMF.STA:EER(6.0.0),1979-M01,2026-M06,1129,2
Effective Exchange Rate (EER).csv,Bolivia,Monthly,IMF.STA:EER(6.0.0),1979-M01,2026-M06,1129,2
Effective Exchange Rate (EER).csv,Bolivia,Quarterly,IMF.STA:EER(6.0.0),1979-Q1,2026-Q2,376,2
Effective Exchange Rate (EER).csv,Chile,Quarterly,IMF.STA:EER(6.0.0),1979-Q1,2026-Q2,376,2
Effective Exchange Rate (EER).csv,Chile,Monthly,IMF.STA:EER(6.0.0),1979-M01,2026-M06,1129,2
Effective Exchange Rate (EER).csv,Uruguay,Monthly,IMF.STA:EER(6.0.0),1979-M01,2026-M06,1129,2
Effective Exchange Rate (EER).csv,Uruguay,Quarterly,IMF.STA:EER(6.0.0),1979-Q1,2026-Q2,376,2
Effective Exchange Rate (EER).csv,Colombia,Quarterly,IMF.STA:EER(6.0.0),1979-Q1,2026-Q2,376,2
Effective Exchange Rate (EER).csv,Colombia,Monthly,IMF.STA:EER(6.0.0),1979-M01,2026-M06,1129,2
Effective Exchange Rate (EER).csv,Paraguay,Monthly,IMF.STA:EER(6.0.0),1979-M01,2026-M06,1129,2
Effective Exchange Rate (EER).csv,Paraguay,Quarterly,IMF.STA:EER(6.0.0),1979-Q1,2026-Q2,376,2
Exchange Rates (ER).csv,Uruguay,Monthly,IMF.STA:ER(4.0.1),1957-M01,2026-M07,8640,16
Exchange Rates (ER).csv,Uruguay,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q2,2876,16
Exchange Rates (ER).csv,Ecuador,Monthly,IMF.STA:ER(4.0.1),1957-M01,2026-M08,8980,16
Exchange Rates (ER).csv,Ecuador,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q2,2988,16
Exchange Rates (ER).csv,Bolivia,Monthly,IMF.STA:ER(4.0.1),1959-M03,2026-M04,8732,16
Exchange Rates (ER).csv,Bolivia,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q1,2976,16
Exchange Rates (ER).csv,Peru,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q2,2988,16
Exchange Rates (ER).csv,Peru,Monthly,IMF.STA:ER(4.0.1),1960-M01,2026-M07,8688,16
Exchange Rates (ER).csv,Argentina,Quarterly,IMF.STA:ER(4.0.1),1959-Q1,2026-Q2,2868,16
Exchange Rates (ER).csv,Argentina,Monthly,IMF.STA:ER(4.0.1),1959-M01,2026-M07,8624,16
Exchange Rates (ER).csv,Brazil,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q2,2988,16
Exchange Rates (ER).csv,Brazil,Monthly,IMF.STA:ER(4.0.1),1957-M01,2026-M07,8640,16
