file,country,frequency,dataset,period_min,period_max,nonempty_cells,series_count
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Chile,Quarterly,IMF.STA:MFS_CBS(24.0.0),1997-Q4,2026-Q2,3437,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Chile,Monthly,IMF.STA:MFS_CBS(24.0.0),1997-M12,2026-M06,10253,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Brazil,Quarterly,IMF.STA:MFS_CBS(24.0.0),2001-Q4,2026-Q2,2966,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Colombia,Quarterly,IMF.STA:MFS_CBS(24.0.0),2001-Q4,2026-Q2,2966,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Brazil,Monthly,IMF.STA:MFS_CBS(24.0.0),2001-M12,2026-M07,8868,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Colombia,Monthly,IMF.STA:MFS_CBS(24.0.0),2001-M12,2026-M07,8868,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Bolivia,Monthly,IMF.STA:MFS_CBS(24.0.0),2001-M12,2026-M07,8868,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Argentina,Monthly,IMF.STA:MFS_CBS(24.0.0),2017-M01,2026-M07,3438,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Bolivia,Quarterly,IMF.STA:MFS_CBS(24.0.0),2001-Q4,2026-Q2,2966,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Uruguay,Quarterly,IMF.STA:MFS_CBS(24.0.0),2001-Q4,2026-Q2,2966,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Ecuador,Monthly,IMF.STA:MFS_CBS(24.0.0),2001-M12,2026-M07,8854,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Ecuador,Quarterly,IMF.STA:MFS_CBS(24.0.0),2001-Q4,2026-Q2,2960,30
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",Uruguay,Monthly,IMF.STA:MFS_CBS(24.0.0),2001-M12,2026-M06,8838,30
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Peru,Monthly,IMF.STA:MFS_DC(8.0.0),2006-M01,2026-M04,16188,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Peru,Quarterly,IMF.STA:MFS_DC(8.0.0),2006-Q1,2026-Q1,5357,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Paraguay,Quarterly,IMF.STA:MFS_DC(8.0.0),2001-Q4,2026-Q1,6611,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Paraguay,Monthly,IMF.STA:MFS_DC(8.0.0),2001-M12,2026-M03,19746,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Bolivia,Quarterly,IMF.STA:MFS_DC(8.0.0),2001-Q4,2026-Q2,6679,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Chile,Quarterly,IMF.STA:MFS_DC(8.0.0),1997-Q4,2026-Q2,7729,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Argentina,Quarterly,IMF.STA:MFS_DC(8.0.0),2010-Q1,2026-Q2,1745,46
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Bolivia,Monthly,IMF.STA:MFS_DC(8.0.0),2001-M12,2026-M07,19969,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Colombia,Quarterly,IMF.STA:MFS_DC(8.0.0),2001-Q4,2026-Q2,6679,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Brazil,Quarterly,IMF.STA:MFS_DC(8.0.0),2001-Q4,2026-Q2,6728,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Colombia,Monthly,IMF.STA:MFS_DC(8.0.0),2001-M12,2026-M07,19969,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Chile,Monthly,IMF.STA:MFS_DC(8.0.0),1997-M12,2026-M06,23153,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Uruguay,Quarterly,IMF.STA:MFS_DC(8.0.0),2001-Q4,2026-Q2,6728,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Ecuador,Quarterly,IMF.STA:MFS_DC(8.0.0),2002-Q4,2026-Q2,95,1
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Brazil,Monthly,IMF.STA:MFS_DC(8.0.0),2001-M12,2026-M07,20067,68
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Argentina,Monthly,IMF.STA:MFS_DC(8.0.0),2017-M01,2026-M07,2185,19
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Ecuador,Monthly,IMF.STA:MFS_DC(8.0.0),2002-M12,2026-M07,284,1
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",Uruguay,Monthly,IMF.STA:MFS_DC(8.0.0),2001-M12,2026-M07,20116,68
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Uruguay,Monthly,IMF.STA:MFS_IR(9.0.0),1976-M07,2026-M05,4358,10
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Ecuador,Monthly,IMF.STA:MFS_IR(9.0.0),2007-M08,2025-M12,657,3
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Paraguay,Monthly,IMF.STA:MFS_IR(9.0.0),1989-M12,2021-M11,2678,9
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Chile,Monthly,IMF.STA:MFS_IR(9.0.0),1985-M01,2026-M07,3129,8
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Chile,Quarterly,IMF.STA:MFS_IR(9.0.0),1985-Q1,2026-Q2,1043,8
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Paraguay,Quarterly,IMF.STA:MFS_IR(9.0.0),1989-Q4,2021-Q3,889,9
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Ecuador,Quarterly,IMF.STA:MFS_IR(9.0.0),2007-Q3,2025-Q4,218,3
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Uruguay,Quarterly,IMF.STA:MFS_IR(9.0.0),1976-Q3,2026-Q1,1456,10
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Bolivia,Quarterly,IMF.STA:MFS_IR(9.0.0),1957-Q1,2026-Q2,1627,11
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Bolivia,Monthly,IMF.STA:MFS_IR(9.0.0),1957-M01,2026-M07,4867,11
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Brazil,Monthly,IMF.STA:MFS_IR(9.0.0),1964-M01,2026-M07,3150,7
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Brazil,Quarterly,IMF.STA:MFS_IR(9.0.0),1964-Q1,2026-Q2,1052,7
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Peru,Monthly,IMF.STA:MFS_IR(9.0.0),1957-M01,2023-M04,4412,11
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Peru,Quarterly,IMF.STA:MFS_IR(9.0.0),1957-Q1,2023-Q1,1471,11
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Argentina,Quarterly,IMF.STA:MFS_IR(9.0.0),2002-Q1,2026-Q2,688,10
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Argentina,Monthly,IMF.STA:MFS_IR(9.0.0),2002-M01,2026-M07,2073,10
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Colombia,Quarterly,IMF.STA:MFS_IR(9.0.0),1964-Q1,2026-Q2,824,5
"Monetary and Financial Statistics (MFS), Interest Rate.csv",Colombia,Monthly,IMF.STA:MFS_IR(9.0.0),1964-M01,2026-M07,2476,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Paraguay,Quarterly,IMF.STA:MFS_MA(10.0.1),2001-Q4,2025-Q2,475,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Paraguay,Monthly,IMF.STA:MFS_MA(10.0.1),2001-M12,2025-M06,1415,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Peru,Quarterly,IMF.STA:MFS_MA(10.0.1),2006-Q1,2023-Q2,350,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Peru,Monthly,IMF.STA:MFS_MA(10.0.1),2006-M01,2023-M06,1050,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Bolivia,Monthly,IMF.STA:MFS_MA(10.0.1),2001-M12,2025-M12,1445,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Bolivia,Quarterly,IMF.STA:MFS_MA(10.0.1),2001-Q4,2025-Q4,485,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Argentina,Quarterly,IMF.STA:MFS_MA(10.0.1),2010-Q1,2025-Q4,320,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Argentina,Monthly,IMF.STA:MFS_MA(10.0.1),2010-M01,2026-M01,965,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Uruguay,Quarterly,IMF.STA:MFS_MA(10.0.1),2001-Q4,2026-Q1,490,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Uruguay,Monthly,IMF.STA:MFS_MA(10.0.1),2001-M12,2026-M03,1460,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Chile,Quarterly,IMF.STA:MFS_MA(10.0.1),1997-Q4,2026-Q1,570,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Chile,Monthly,IMF.STA:MFS_MA(10.0.1),1997-M12,2026-M04,1705,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Colombia,Quarterly,IMF.STA:MFS_MA(10.0.1),2001-Q4,2026-Q1,490,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Colombia,Monthly,IMF.STA:MFS_MA(10.0.1),2001-M12,2026-M05,1469,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Brazil,Monthly,IMF.STA:MFS_MA(10.0.1),2001-M12,2026-M06,1475,5
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",Brazil,Quarterly,IMF.STA:MFS_MA(10.0.1),2001-Q4,2026-Q2,495,5
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Bolivia,Quarterly,IMF.STA:MFS_ODC(10.0.0),2001-Q4,2026-Q1,2842,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Paraguay,Monthly,IMF.STA:MFS_ODC(10.0.0),2001-M12,2026-M01,8410,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Paraguay,Quarterly,IMF.STA:MFS_ODC(10.0.0),2001-Q4,2025-Q4,2813,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Chile,Quarterly,IMF.STA:MFS_ODC(10.0.0),1997-Q4,2026-Q1,3274,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Peru,Quarterly,IMF.STA:MFS_ODC(10.0.0),2006-Q1,2025-Q2,2262,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Peru,Monthly,IMF.STA:MFS_ODC(10.0.0),2006-M01,2025-M08,6844,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Bolivia,Monthly,IMF.STA:MFS_ODC(10.0.0),2001-M12,2026-M04,8497,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Colombia,Monthly,IMF.STA:MFS_ODC(10.0.0),2001-M12,2026-M04,8497,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Colombia,Quarterly,IMF.STA:MFS_ODC(10.0.0),2001-Q4,2026-Q1,2842,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Uruguay,Quarterly,IMF.STA:MFS_ODC(10.0.0),2001-Q4,2026-Q2,2871,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Ecuador,Quarterly,IMF.STA:MFS_ODC(10.0.0),2001-Q4,2026-Q2,2862,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Brazil,Quarterly,IMF.STA:MFS_ODC(10.0.0),2001-Q4,2026-Q2,2871,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Brazil,Monthly,IMF.STA:MFS_ODC(10.0.0),2001-M12,2026-M06,8555,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Argentina,Monthly,IMF.STA:MFS_ODC(10.0.0),2010-M01,2026-M06,198,1
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Argentina,Quarterly,IMF.STA:MFS_ODC(10.0.0),2010-Q1,2026-Q2,66,1
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Chile,Monthly,IMF.STA:MFS_ODC(10.0.0),1997-M12,2026-M05,9822,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Ecuador,Monthly,IMF.STA:MFS_ODC(10.0.0),2001-M12,2026-M07,8563,29
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",Uruguay,Monthly,IMF.STA:MFS_ODC(10.0.0),2001-M12,2026-M07,8584,29
"National Economic Accounts (NEA), Quarterly Data.csv",Uruguay,Quarterly,IMF.STA:QNEA(7.0.0),2016-Q1,2026-Q1,904,24
"National Economic Accounts (NEA), Quarterly Data.csv",Bolivia,Quarterly,IMF.STA:QNEA(7.0.0),1990-Q1,2025-Q2,2322,22
"National Economic Accounts (NEA), Quarterly Data.csv",Argentina,Quarterly,IMF.STA:QNEA(7.0.0),2004-Q1,2026-Q1,3758,45
"National Economic Accounts (NEA), Quarterly Data.csv",Ecuador,Quarterly,IMF.STA:QNEA(7.0.0),1991-Q1,2026-Q1,4421,39
"National Economic Accounts (NEA), Quarterly Data.csv",Brazil,Quarterly,IMF.STA:QNEA(7.0.0),1996-Q1,2026-Q2,5112,42
"National Economic Accounts (NEA), Quarterly Data.csv",Paraguay,Quarterly,IMF.STA:QNEA(7.0.0),1994-Q1,2025-Q4,2816,22
"National Economic Accounts (NEA), Quarterly Data.csv",Peru,Quarterly,IMF.STA:QNEA(7.0.0),2007-Q1,2025-Q4,1663,22
"National Economic Accounts (NEA), Quarterly Data.csv",Colombia,Quarterly,IMF.STA:QNEA(7.0.0),2005-Q1,2026-Q2,3526,41
"National Economic Accounts (NEA), Quarterly Data.csv",Chile,Quarterly,IMF.STA:QNEA(7.0.0),1996-Q1,2026-Q2,5110,43
Primary Commodity Price System (PCPS).csv,World,Quarterly,IMF.RES:PCPS(9.0.0),1992-Q1,2026-Q2,52213,404
Primary Commodity Price System (PCPS).csv,World,Monthly,IMF.RES:PCPS(9.0.0),1992-M01,2026-M07,157120,404
"Production Indexes, World and Country Group Aggregates.csv",Emerging and Developing Asia,Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Production Indexes, World and Country Group Aggregates.csv",Sub-Saharan Africa (SSA),Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Production Indexes, World and Country Group Aggregates.csv",Emerging and Developing Europe,Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Production Indexes, World and Country Group Aggregates.csv",Advanced Economies,Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Production Indexes, World and Country Group Aggregates.csv",Emerging Market and Developing Economies,Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Production Indexes, World and Country Group Aggregates.csv",Middle East and Central Asia,Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Production Indexes, World and Country Group Aggregates.csv",Latin America and the Caribbean (LAC),Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Production Indexes, World and Country Group Aggregates.csv",World,Monthly,IMF.STA:PI_WCA(1.0.0),2015-M01,2026-M05,273,2
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",Africa,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",G7,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",G20,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",World,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",Emerging Market and Developing Economies,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",Advanced Economies,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",Asia,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",Europe,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",Americas,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",Oceania,Quarterly,IMF.STA:QGDP_WCA(4.0.0),2012-Q1,2026-Q1,1698,30
Reported Social Unrest Index (RSUI).csv,Paraguay,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Reported Social Unrest Index (RSUI).csv,Peru,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Reported Social Unrest Index (RSUI).csv,Argentina,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Reported Social Unrest Index (RSUI).csv,Brazil,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Reported Social Unrest Index (RSUI).csv,Ecuador,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Reported Social Unrest Index (RSUI).csv,Chile,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Reported Social Unrest Index (RSUI).csv,Colombia,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Reported Social Unrest Index (RSUI).csv,Bolivia,Monthly,IMF.WHD:RSUI(1.0.0),1990-M01,2026-M05,874,2
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Argentina,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,3102,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Bolivia,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,2913,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Brazil,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,3164,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Chile,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,2577,9
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Colombia,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,3102,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Ecuador,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,2580,9
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Paraguay,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,2829,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Peru,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,3167,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Uruguay,Monthly,IMF.STA:WPFXI(1.0.2),2000-M01,2024-M12,2579,9
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Argentina,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,1004,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Brazil,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,1028,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Chile,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,859,9
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Bolivia,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,950,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Ecuador,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,860,9
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Colombia,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,1028,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Paraguay,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,912,11
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Uruguay,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,860,9
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,Peru,Quarterly,IMF.STA:WPFXI(1.0.2),2000-Q1,2024-Q4,1027,11
