file,bytes,sha256,encoding,utf8_bom,line_endings,physical_lines,logical_records,outer_widths,outer_malformed_records,outer_parse_error,header_columns,dimension_columns,period_columns,period_header_min,period_header_max,data_records,distinct_series_codes,duplicate_series_code_records,potential_observations,metadata_records,multiline_records,inner_widths,irregular_inner_records,inner_parse_errors,nonnumeric_observation_tokens,nonnumeric_token_values,countries,frequencies,units,scales,transformations
International Trade in Goods (ITG).csv,101181,20bf00b54ec324e86dfab58a6cf5f6b840feebff244915d70b8f7ff57a2797e8,UTF-8,True,CRLF,38,38,"{""1"": 38}",0,,352,8,344,2005-M01,2026-Q2,37,37,0,5980,0,0,"{""352"": 38}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Billions | Millions | Thousands,"Cost insurance freight (CIF), US dollar | Free on board (FOB), US dollar"
International Trade in Goods (by partner country) (IMTS).csv,98447357,3d8993bb9090c51e2faa0c1b1989b9274e51b3327caee8c7d4edbb8e61914480,UTF-8,True,CRLF,12812,12812,"{""1"": 12812}",0,,1070,8,1062,1960-M01,2026-Q1,12811,12811,0,3118702,0,0,"{""1070"": 12812}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Millions,
"Monetary and Financial Statistics (MFS), Central Bank Data.csv",2432398,f46fd6d1c34a94561d1b2ce8da060718e63b6a71c9f986f2c24fa2688ef963f0,UTF-8,True,CRLF,541,541,"{""1"": 541}",0,,469,8,461,1997-M10,2026-Q2,540,540,0,98662,0,0,"{""469"": 541}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Millions | Units,"Domestic currency | Percent change, corresponding period, previous year | US dollar"
"Monetary and Financial Statistics (MFS), Depository Corporations.csv",4908681,1884d65805e31305a86a8c0036441ded78576ccc9f6519beab49f7626d724644,UTF-8,True,CRLF,1020,1020,"{""1"": 1020}",0,,469,8,461,1997-M10,2026-Q2,1019,1019,0,190028,0,0,"{""469"": 1020}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Millions | Units,"Domestic currency | Percent change, corresponding period, previous year | Ratio of monetary base to broad money, percent per annum, Percent | Seasonally adjusted (SA), Domestic currency"
"Monetary and Financial Statistics (MFS), Interest Rate.csv",1204866,082ffbd0a9ed91563d7c7d7c70e94397ab6d2c13e2485f63ac8698d774216072,UTF-8,True,CRLF,149,149,"{""1"": 149}",0,,1120,7,1113,1957-M01,2026-Q2,148,148,0,37068,0,0,"{""1120"": 149}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Units,
"Monetary and Financial Statistics (MFS), Monetary Aggregates.csv",307129,19923e868d4fbc7976d4067baa4f52cbab635c726aae049339a81a694bc35cb2,UTF-8,True,CRLF,81,81,"{""1"": 81}",0,,468,8,460,1997-M10,2026-Q2,80,80,0,14659,0,0,"{""468"": 81}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Paraguay | Peru | Uruguay,Monthly | Quarterly,Domestic currency,Millions,
"Monetary and Financial Statistics (MFS), Other Depository Corporations.csv",2294624,f943d0dbca49965770a7a3a306d5164794fd9628ef8b0b88437ed7afdd7708de,UTF-8,True,CRLF,467,467,"{""1"": 467}",0,,469,8,461,1997-M10,2026-Q2,466,466,0,90673,0,0,"{""469"": 467}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Millions,Domestic currency | US dollar
"National Economic Accounts (NEA), Quarterly Data.csv",968606,6c9bbaabdbe907fd8a65aadd42b1cd08c430b1ffc10423ff78079815e61487cd,UTF-8,True,CRLF,596,596,"{""1"": 596}",0,,156,10,146,1990-Q1,2026-Q2,595,595,0,29632,0,0,"{""156"": 596}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Quarterly,,Units,Domestic currency | Index | US dollar
Primary Commodity Price System (PCPS).csv,9137808,88ce4c085833ca6820da094e520a8d14fe64b5dedadf42b7a90a7f84378cafb3,UTF-8,True,CRLF,853,853,"{""1"": 853}",0,,1297,8,1289,1946-M01,2026-Q2,852,852,0,209333,0,0,"{""1297"": 853}",0,0,0,[],World,Monthly | Quarterly,,Units,"Index | Index, percent change | Index, percent change from a year ago | US dollars"
"Production Indexes, World and Country Group Aggregates.csv",66507,a8b3bf57a86926614ebc8ba6eb814996ceeeb0fa2799e77f63b66c94cd2f6ebf,Windows-1252,False,CRLF,17,17,"{""9"": 17}",0,,180,40,140,2015-M01,2026-M08,16,16,0,2184,0,0,"{""180"": 17}",0,0,0,[],Advanced Economies | Emerging Market and Developing Economies | Emerging and Developing Asia | Emerging and Developing Europe | Latin America and the Caribbean (LAC) | Middle East and Central Asia | Sub-Saharan Africa (SSA) | World,Monthly,Index | Percent,,Period-over-preceding period percent change | Seasonally adjusted (SA) Index | Seasonally adjusted (SA) Period-over-preceding period percent change
"Quarterly Gross Domestic Product (GDP), World and Country Aggregates.csv",429726,5d7cc5cea78bc1795cfbcae640dd9cb56da5b05f3d3041165f8a50729624a2c8,UTF-8,True,CRLF,301,301,"{""3"": 301}",0,,98,41,57,2012-Q1,2026-Q1,300,300,0,16980,0,0,"{""98"": 301}",0,0,0,[],Advanced Economies | Africa | Americas | Asia | Emerging Market and Developing Economies | Europe | G20 | G7 | Oceania | World,Quarterly,Index | Percent,Billions | Units,"Index | Period-over-preceding period percent change | Period-over-preceding period percent change, Percent | Purchasing power parity (PPP) international dollar | Seasonally adjusted (SA), Purchasing power parity (PPP) international dollar"
Reported Social Unrest Index (RSUI).csv,80551,dc3d37ff4b7c688f669372356190fb917bfd779f86aa3d2591c91617c0a099ce,UTF-8,True,CRLF,17,17,"{""1"": 17}",0,,443,6,437,1990-M01,2026-M05,16,16,0,6992,0,0,"{""443"": 17}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru,Monthly,,,
Working Paper Foreign Exchange Intervention (WPFXI) A Dataset of Public Data and Proxies.csv,522708,815b776e02a93eca6a76bab4eb243855301c65a9edccd8372edfefbac221355f,UTF-8,True,CRLF,187,187,"{""1"": 187}",0,,407,7,400,2000-M01,2024-Q4,186,186,0,34541,0,0,"{""407"": 187}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,,
