fecha,tasa_anterior_FPD,tasa_anterior_FPL,tasa_nueva_FPD,tasa_nueva_FPL,cambio_pb_FPD,cambio_pb_FPL,tpm_vig,tpm_ult_dec,spread_fpd,spread_fpl
2021-12-22,3.75,4.25,5,5.5,125,125,5.25,2021-12-21,-0.25,0.25
2022-01-24,5,5.5,5.25,5.75,25,25,5.5,2022-01-21,-0.25,0.25
2022-02-23,5.25,5.75,5.5,6,25,25,5.75,2022-02-22,-0.25,0.25
2022-03-23,5.5,6,6,6.5,50,50,6.25,2022-03-22,-0.25,0.25
2022-04-25,6,6.5,6.5,7,50,50,6.75,2022-04-22,-0.25,0.25
2022-05-23,6.5,7,7,7.5,50,50,7.25,2022-05-20,-0.25,0.25
2022-06-22,7,7.5,7.5,8,50,50,7.75,2022-06-21,-0.25,0.25
2022-07-25,7.5,8,7.75,8.25,25,25,8,2022-07-22,-0.25,0.25
2022-08-24,7.75,8.25,8,8.5,25,25,8.25,2022-08-23,-0.25,0.25
2022-09-23,8,8.5,8.25,8.75,25,25,8.5,2022-09-22,-0.25,0.25
2023-08-24,8.25,8.75,8,8.5,-25,-25,8.25,2023-08-23,-0.25,0.25
2023-09-21,8,8.5,7.75,8.25,-25,-25,8,2023-09-20,-0.25,0.25
2023-10-25,7.75,8.25,7.5,8,-25,-25,7.75,2023-10-24,-0.25,0.25
2023-11-23,7.5,8,7,7.5,-50,-50,7.25,2023-11-22,-0.25,0.25
2023-12-21,7,7.5,6.5,7,-50,-50,6.75,2023-12-20,-0.25,0.25
2024-01-22,6.5,7,6.25,6.75,-25,-25,6.5,2024-01-19,-0.25,0.25
2024-02-20,6.25,6.75,6,6.5,-25,-25,6.25,2024-02-19,-0.25,0.25
2024-03-22,6,6.5,5.75,6.25,-25,-25,6,2024-03-21,-0.25,0.25
2026-01-26,5.75,6.25,5.5,6,-25,-25,5.75,2026-01-23,-0.25,0.25
2026-02-23,5.5,6,5.25,5.75,-25,-25,5.5,2026-02-20,-0.25,0.25
