archivo,bytes,sha256,motivo,eliminado_utc
1_BOLB_08_2015 (1).xls,1590784,0a7be8ccd730a08c20100d617c2c793ea18cf79173b37088db916ef75eb8e3c8,duplicado exacto de 1_BOLB_08_2015.xls,2026-09-24T12:44:25.981295+00:00
Ficha 052013 (1).xlsx,211129,5e3fc34d57ca088eea15cfd787452fee44a2b53a0102ae7cfd10c8ba614a0288,duplicado exacto de Ficha 052013.xlsx,2026-09-24T12:44:25.983487+00:00
3_BOLCC_04_2014 (1).xls,266752,74bffedfff5f2d3add2000014e8aa56200eff609008bfcf4ac2f3b3e2eeb4e17,duplicado exacto de 3_BOLCC_04_2014.xls,2026-09-24T12:44:25.984267+00:00
Bancos_propuesto_1013 (1).xls,1217024,9271cd84f12fba6a0a465d0d7a636d933cd5db7cdc0cbaa7ec317d81c1b74ba1,duplicado exacto de Bancos_propuesto_1013.xls,2026-09-24T12:44:25.985856+00:00
BANCOS (1).xls,1869312,dd52a46bec11f23d2a684e94ab673340b90be4e0e24618da4d9396cc3abababc,duplicado exacto de BANCOS.xls,2026-09-24T12:44:25.988740+00:00
4_BOLALM_042015.xls,182784,7e54f1649b5bd56fb08a056742c985cde63dbcef3618100c746fcfa42405c63f,no útil: único mes (2015-04) del boletín de almacenes generales; ningún proyecto lo usa (pedido del usuario: eliminar lo no útil),2026-09-24T12:44:25.990730+00:00
