periodo,periodo_de,seccion,producto_publicado,sector,moneda,tasa,valor_publicado,valor,unidad,archivo,sha256,fecha_corte,fila,columna
2011-01,titulo_hoja,,PROMEDIO SIMPLE TASAS ACTIVAS,BANCOS,M/E,Nominal,7.9783333333333344,7.97833333333333,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,15,4
2011-01,titulo_hoja,II. PASIVAS,DEPOSITOS VISTA,BANCOS,M/E,Nominal,0.14999999999999999,0.15,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,17,4
2011-01,titulo_hoja,CDA,CERTIFIC.DEPOSITOS DE AHORROS A 180 DIAS,BANCOS,M/E,Nominal,2.2799999999999998,2.28,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,19,4
2011-01,titulo_hoja,CDA,CERTIFIC.DEP. DE AHORRO <=  365 DIAS,BANCOS,M/E,Nominal,3.2599999999999998,3.26,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,20,4
2011-01,titulo_hoja,CDA,CERTIFIC. DEPOSITOS AHORROS > 365 DIAS,BANCOS,M/E,Nominal,6.1299999999999999,6.13,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,21,4
2011-01,titulo_hoja,CDA,III. PRESTAMOS A BANCOS - CALL MONEY ACTIVO,BANCOS,M/E,Nominal,2.54,2.54,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,22,4
2011-01,titulo_hoja,,PRESTAMO COMERCIAL <= 1AÑO,BANCOS,M/L,Efectiva,12.84,12.84,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,8,3
2011-01,titulo_hoja,,PRESTAMO COMERCIAL > 1AÑO,BANCOS,M/L,Efectiva,17.449999999999999,17.45,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,9,3
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO < = 1 AÑO  (*),BANCOS,M/L,Efectiva,10.73,10.73,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,10,3
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO > 1 AÑO,BANCOS,M/L,Efectiva,12.91,12.91,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,11,3
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO <= 1 AÑO,BANCOS,M/L,Efectiva,22.219999999999999,22.22,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,12,3
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO > 1 AÑO,BANCOS,M/L,Efectiva,27.300000000000001,27.3,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,13,3
2011-01,titulo_hoja,,PRESTAMOS POR TARJETAS DE CREDITO,BANCOS,M/L,Efectiva,44.109999999999999,44.11,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,14,3
2011-01,titulo_hoja,,PROMEDIO SIMPLE TASAS ACTIVAS,BANCOS,M/L,Efectiva,21.080000000000002,21.08,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,15,3
2011-01,titulo_hoja,II. PASIVAS,DEPOSITOS VISTA,BANCOS,M/L,Efectiva,0.54000000000000004,0.54,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,17,3
2011-01,titulo_hoja,CDA,CERTIFIC.DEPOSITOS DE AHORROS A 180 DIAS,BANCOS,M/L,Efectiva,6.2000000000000002,6.2,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,19,3
2011-01,titulo_hoja,CDA,CERTIFIC.DEP. DE AHORRO <=  365 DIAS,BANCOS,M/L,Efectiva,7.1500000000000004,7.15,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,20,3
2011-01,titulo_hoja,CDA,CERTIFIC. DEPOSITOS AHORROS > 365 DIAS,BANCOS,M/L,Efectiva,11,11,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,21,3
2011-01,titulo_hoja,CDA,III. PRESTAMOS A BANCOS - CALL MONEY ACTIVO,BANCOS,M/L,Efectiva,4.9299999999999997,4.93,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,22,3
2011-01,titulo_hoja,,PRESTAMO COMERCIAL <= 1AÑO,BANCOS,M/L,Nominal,12.02,12.02,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,8,2
2011-01,titulo_hoja,,PRESTAMO COMERCIAL > 1AÑO,BANCOS,M/L,Nominal,16.02,16.02,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,9,2
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO < = 1 AÑO  (*),BANCOS,M/L,Nominal,10.460000000000001,10.46,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,10,2
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO > 1 AÑO,BANCOS,M/L,Nominal,12.800000000000001,12.8,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,11,2
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO <= 1 AÑO,BANCOS,M/L,Nominal,20.140000000000001,20.14,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,12,2
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO > 1 AÑO,BANCOS,M/L,Nominal,24.190000000000001,24.19,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,13,2
2011-01,titulo_hoja,,PRESTAMOS POR TARJETAS DE CREDITO,BANCOS,M/L,Nominal,37.200000000000003,37.2,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,14,2
2011-01,titulo_hoja,,PROMEDIO SIMPLE TASAS ACTIVAS,BANCOS,M/L,Nominal,18.975714285714282,18.9757142857143,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,15,2
2011-01,titulo_hoja,II. PASIVAS,DEPOSITOS VISTA,BANCOS,M/L,Nominal,0.54000000000000004,0.54,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,17,2
