"source_key","filename","relative_path","bytes","sha256","format","modified_at_filesystem","creator","last_modified_by","created_property","modified_property","application","app_version"
"mef","MEFP 2001 ADMINISTRACIÓN CENTRAL 2003-2026 serie mensual.xlsx","input/current/MEFP 2001 ADMINISTRACIÓN CENTRAL 2003-2026 serie mensual.xlsx",320984,"0b6be44e1e243a43eeacafbe4da06925f49b06e0fca1df3d150c1d40d103c2a7","Office Open XML workbook (.xlsx)","2026-09-19T20:57:10-0300","DGPMF","Luis Alberto Benítez","2016-11-23T12:02:46Z","2026-09-11T17:35:08Z","Microsoft Excel","16.0300"
"ine","Anexo_EPHC_2017-2026.xlsx","input/current/Anexo_EPHC_2017-2026.xlsx",545980,"04bf76173d73c5e99e7ecea6f64bd1284adc6dfefbacf9815a9a3b4003c7311d","Office Open XML workbook (.xlsx)","2026-09-19T20:56:30-0300","Griselda Ramirez","Griselda Ramirez","2019-07-09T15:45:03Z","2026-07-23T17:57:14Z","Microsoft Excel","16.0300"
