"source_key","sheet_name","range"
"ine","PROMEDIODEAÑODEESTUDIO","O3:Z3"
"ine","PROMEDIODEAÑODEESTUDIO","O4:Q4"
"ine","PROMEDIODEAÑODEESTUDIO","R4:T4"
"ine","PROMEDIODEAÑODEESTUDIO","U4:W4"
"ine","PROMEDIODEAÑODEESTUDIO","X4:Z4"
"ine","PROMEDIODEAÑODEESTUDIO","AD4:AF4"
"ine","PROMEDIODEAÑODEESTUDIO","AG4:AI4"
"ine","PROMEDIODEAÑODEESTUDIO","AJ4:AL4"
"ine","PROMEDIODEAÑODEESTUDIO","AP4:AR4"
"ine","PROMEDIODEAÑODEESTUDIO","AS4:AU4"
"ine","PROMEDIODEAÑODEESTUDIO","AM4:AO4"
"ine","PROMEDIODEAÑODEESTUDIO","B2:CE2"
"ine","PROMEDIODEAÑODEESTUDIO","BW3:CH3"
"ine","PROMEDIODEAÑODEESTUDIO","AA3:AL3"
"ine","PROMEDIODEAÑODEESTUDIO","AA4:AC4"
"ine","PROMEDIODEAÑODEESTUDIO","B1:DC1"
"ine","PROMEDIODEAÑODEESTUDIO","CC4:CE4"
"ine","PROMEDIODEAÑODEESTUDIO","CF4:CH4"
"ine","PROMEDIODEAÑODEESTUDIO","BE4:BG4"
"ine","PROMEDIODEAÑODEESTUDIO","BH4:BJ4"
"ine","PROMEDIODEAÑODEESTUDIO","B3:B5"
"ine","PROMEDIODEAÑODEESTUDIO","BK4:BM4"
"ine","PROMEDIODEAÑODEESTUDIO","BQ4:BS4"
"ine","PROMEDIODEAÑODEESTUDIO","BT4:BV4"
"ine","PROMEDIODEAÑODEESTUDIO","BN4:BP4"
"ine","PROMEDIODEAÑODEESTUDIO","BK3:BV3"
"ine","PROMEDIODEAÑODEESTUDIO","AY3:BJ3"
"ine","INGRESOS_CATE","DJ5:DL5"
"ine","INGRESOS_CATE","DG4:DL4"
"ine","INGRESOS_CATE","DG5:DI5"
"ine","INGRESOS_CATE","DD5:DF5"
"ine","INGRESOS_CATE","CU4:DF4"
"ine","INGRESOS_CATE","CX5:CZ5"
"ine","INGRESOS_CATE","CU5:CW5"
"ine","INGRESOS_CATE","BW4:CH4"
"ine","INGRESOS_CATE","BZ5:CB5"
"ine","INGRESOS_CATE","CI4:CT4"
"ine","INGRESOS_CATE","CO5:CQ5"
"ine","INGRESOS_CATE","CL5:CN5"
"ine","INGRESOS_CATE","CR5:CT5"
"ine","INGRESOS_CATE","AG5:AI5"
"ine","INGRESOS_CATE","AJ5:AL5"
"ine","INGRESOS_CATE","CI5:CK5"
"ine","INGRESOS_CATE","CF5:CH5"
"ine","INGRESOS_CATE","BT5:BV5"
"ine","INGRESOS_CATE","CC5:CE5"
"ine","INGRESOS_CATE","BW5:BY5"
"ine","INGRESOS_CATE","R5:T5"
"ine","INGRESOS_CATE","U5:W5"
"ine","INGRESOS_CATE","X5:Z5"
"ine","INGRESOS_CATE","AA5:AC5"
"ine","INGRESOS_CATE","AD5:AF5"
"ine","INGRESOS_CATE","C5:E5"
"ine","INGRESOS_CATE","F5:H5"
"ine","INGRESOS_CATE","I5:K5"
"ine","INGRESOS_CATE","L5:N5"
"ine","INGRESOS_CATE","O5:Q5"
"ine","INGRESOS_CATE","C4:N4"
"ine","INGRESOS_CATE","O4:Z4"
"ine","INGRESOS_CATE","AA4:AL4"
"ine","INGRESOS_CATE","AM4:AX4"
"ine","INGRESOS_CATE","AY4:BJ4"
"ine","INGRESOS_CATE","B1:DC1"
"ine","INGRESOS_CATE","AM5:AO5"
"ine","INGRESOS_CATE","BE5:BG5"
"ine","INGRESOS_CATE","BH5:BJ5"
"ine","INGRESOS_CATE","AP5:AR5"
"ine","INGRESOS_CATE","AS5:AU5"
"ine","INGRESOS_CATE","AV5:AX5"
"ine","INGRESOS_CATE","AY5:BA5"
"ine","INGRESOS_CATE","BB5:BD5"
"ine","INGRESOS_CATE","DA5:DC5"
"ine","INGRESOS_CATE","B4:B6"
"ine","INGRESOS_CATE","BK4:BV4"
"ine","INGRESOS_CATE","BK5:BM5"
"ine","INGRESOS_CATE","BN5:BP5"
"ine","INGRESOS_CATE","BQ5:BS5"
"ine","INGRESOS_CATE","B2:CD3"
"ine","INGRESOSPORHORAS","DJ5:DL5"
"ine","INGRESOSPORHORAS","DG4:DL4"
"ine","INGRESOSPORHORAS","DG5:DI5"
"ine","INGRESOSPORHORAS","DD5:DF5"
"ine","INGRESOSPORHORAS","CU4:DF4"
"ine","INGRESOSPORHORAS","DA5:DC5"
"ine","INGRESOSPORHORAS","CX5:CZ5"
"ine","INGRESOSPORHORAS","CU5:CW5"
"ine","INGRESOSPORHORAS","B29:BW29"
"ine","INGRESOSPORHORAS","CI5:CK5"
"ine","INGRESOSPORHORAS","CF5:CH5"
"ine","INGRESOSPORHORAS","BZ5:CB5"
"ine","INGRESOSPORHORAS","B2:CC3"
"ine","INGRESOSPORHORAS","CC5:CE5"
"ine","INGRESOSPORHORAS","BW5:BY5"
"ine","INGRESOSPORHORAS","AM4:AX4"
"ine","INGRESOSPORHORAS","AY4:BJ4"
"ine","INGRESOSPORHORAS","C5:E5"
"ine","INGRESOSPORHORAS","F5:H5"
"ine","INGRESOSPORHORAS","I5:K5"
"ine","INGRESOSPORHORAS","L5:N5"
"ine","INGRESOSPORHORAS","AA4:AL4"
"ine","INGRESOSPORHORAS","B4:B6"
"ine","INGRESOSPORHORAS","BK4:BV4"
"ine","INGRESOSPORHORAS","CI4:CT4"
"ine","INGRESOSPORHORAS","CR5:CT5"
"ine","INGRESOSPORHORAS","C4:N4"
"ine","INGRESOSPORHORAS","O4:Z4"
"ine","INGRESOSPORHORAS","BQ5:BS5"
"ine","INGRESOSPORHORAS","BT5:BV5"
"ine","INGRESOSPORHORAS","AA5:AC5"
"ine","INGRESOSPORHORAS","BK5:BM5"
"ine","INGRESOSPORHORAS","BN5:BP5"
"ine","INGRESOSPORHORAS","CL5:CN5"
"ine","INGRESOSPORHORAS","CO5:CQ5"
"ine","INGRESOSPORHORAS","BW4:CH4"
"ine","INGRESOSPORHORAS","B1:DC1"
"ine","INGRESOSPORHORAS","BH5:BJ5"
"ine","INGRESOSPORHORAS","AS5:AU5"
"ine","INGRESOSPORHORAS","AV5:AX5"
"ine","INGRESOSPORHORAS","AY5:BA5"
"ine","INGRESOSPORHORAS","BB5:BD5"
"ine","INGRESOSPORHORAS","BE5:BG5"
"ine","INGRESOSPORHORAS","AD5:AF5"
"ine","INGRESOSPORHORAS","AG5:AI5"
"ine","INGRESOSPORHORAS","AJ5:AL5"
"ine","INGRESOSPORHORAS","AM5:AO5"
"ine","INGRESOSPORHORAS","AP5:AR5"
"ine","INGRESOSPORHORAS","O5:Q5"
"ine","INGRESOSPORHORAS","R5:T5"
"ine","INGRESOSPORHORAS","U5:W5"
"ine","INGRESOSPORHORAS","X5:Z5"
"ine","INGRESOS_SECTOR","DJ4:DL4"
"ine","INGRESOS_SECTOR","DG3:DL3"
"ine","INGRESOS_SECTOR","DG4:DI4"
"ine","INGRESOS_SECTOR","B2:CB2"
"ine","INGRESOS_SECTOR","BW3:CH3"
"ine","INGRESOS_SECTOR","CC4:CE4"
"ine","INGRESOS_SECTOR","BW4:BY4"
"ine","INGRESOS_SECTOR","CF4:CH4"
"ine","INGRESOS_SECTOR","BZ4:CB4"
"ine","INGRESOS_SECTOR","C3:N3"
"ine","INGRESOS_SECTOR","O3:Z3"
"ine","INGRESOS_SECTOR","AA3:AL3"
"ine","INGRESOS_SECTOR","B3:B5"
"ine","INGRESOS_SECTOR","BK3:BV3"
"ine","INGRESOS_SECTOR","BK4:BM4"
"ine","INGRESOS_SECTOR","BN4:BP4"
"ine","INGRESOS_SECTOR","BQ4:BS4"
"ine","INGRESOS_SECTOR","X4:Z4"
"ine","INGRESOS_SECTOR","AA4:AC4"
"ine","INGRESOS_SECTOR","CI3:CT3"
"ine","INGRESOS_SECTOR","CR4:CT4"
"ine","INGRESOS_SECTOR","CO4:CQ4"
"ine","INGRESOS_SECTOR","CI4:CK4"
"ine","INGRESOS_SECTOR","AD4:AF4"
"ine","INGRESOS_SECTOR","AG4:AI4"
"ine","INGRESOS_SECTOR","AJ4:AL4"
"ine","INGRESOS_SECTOR","BT4:BV4"
"ine","INGRESOS_SECTOR","AM4:AO4"
"ine","INGRESOS_SECTOR","AP4:AR4"
"ine","INGRESOS_SECTOR","DD4:DF4"
"ine","INGRESOS_SECTOR","CU3:DF3"
"ine","INGRESOS_SECTOR","DA4:DC4"
"ine","INGRESOS_SECTOR","CX4:CZ4"
"ine","INGRESOS_SECTOR","CL4:CN4"
"ine","INGRESOS_SECTOR","CU4:CW4"
"ine","INGRESOS_SECTOR","B1:DC1"
"ine","INGRESOS_SECTOR","BH4:BJ4"
"ine","INGRESOS_SECTOR","AS4:AU4"
"ine","INGRESOS_SECTOR","AV4:AX4"
"ine","INGRESOS_SECTOR","AY4:BA4"
"ine","INGRESOS_SECTOR","BB4:BD4"
"ine","INGRESOS_SECTOR","BE4:BG4"
"ine","INGRESOS_SECTOR","AM3:AX3"
"ine","INGRESOS_SECTOR","AY3:BJ3"
"ine","INGRESOS_SECTOR","C4:E4"
"ine","INGRESOS_SECTOR","F4:H4"
"ine","INGRESOS_SECTOR","I4:K4"
"ine","INGRESOS_SECTOR","L4:N4"
"ine","INGRESOS_SECTOR","O4:Q4"
"ine","INGRESOS_SECTOR","R4:T4"
"ine","INGRESOS_SECTOR","U4:W4"
"ine","INGRESOS_OCUP","DJ4:DL4"
"ine","INGRESOS_OCUP","DG3:DL3"
"ine","INGRESOS_OCUP","O3:Z3"
"ine","INGRESOS_OCUP","B46:BT46"
"ine","INGRESOS_OCUP","CI4:CK4"
"ine","INGRESOS_OCUP","CF4:CH4"
"ine","INGRESOS_OCUP","B3:B5"
"ine","INGRESOS_OCUP","BK3:BV3"
"ine","INGRESOS_OCUP","BK4:BM4"
"ine","INGRESOS_OCUP","BN4:BP4"
"ine","INGRESOS_OCUP","BQ4:BS4"
"ine","INGRESOS_OCUP","BT4:BV4"
"ine","INGRESOS_OCUP","AY3:BJ3"
"ine","INGRESOS_OCUP","AM3:AX3"
"ine","INGRESOS_OCUP","AA3:AL3"
"ine","INGRESOS_OCUP","C4:E4"
"ine","INGRESOS_OCUP","I4:K4"
"ine","INGRESOS_OCUP","F4:H4"
"ine","INGRESOS_OCUP","R4:T4"
