"source_key","sheet_name","cell","formula","cached_value"
"mef","Serie","C109","C43-C57-C60-C63-C75-C50","299.879997925"
"mef","Serie","D109","D43-D57-D60-D63-D75-D50","328.95417874600003"
"mef","Serie","E109","","364.90122297599999"
"mef","Serie","F109","","352.48671389700002"
"mef","Serie","G109","","352.94429536599995"
"mef","Serie","H109","","363.12030335399999"
"mef","Serie","I109","","355.38852819599992"
"mef","Serie","J109","","320.59800314299991"
"mef","Serie","K109","","353.67252730199993"
"mef","Serie","L109","","363.66648885999996"
"mef","Serie","M109","","384.52588644600002"
"mef","Serie","N109","","661.73433267099995"
"mef","Serie","O109","","302.738772396"
"mef","Serie","P109","","338.05739634499992"
"mef","Serie","Q109","","374.32869675199998"
"mef","Serie","R109","","386.05033309499998"
"mef","Serie","S109","","381.67357185899994"
"mef","Serie","T109","","312.04800306900006"
"mef","Serie","U109","","458.01737487999998"
"mef","Serie","V109","","399.78192741599992"
"mef","Serie","W109","","320.57551217099996"
"mef","Serie","X109","","492.92516128599999"
"mef","Serie","Y109","","427.17427339699998"
"mef","Serie","Z109","","691.47967651199997"
"mef","Serie","AA109","","319.50890838900006"
"mef","Serie","AB109","","442.16596988800006"
"mef","Serie","AC109","","421.27017989200004"
"mef","Serie","AD109","","434.95315223399996"
"mef","Serie","AE109","","463.94019311600005"
"mef","Serie","AF109","","449.32216607500004"
"mef","Serie","AG109","","477.18685072900001"
"mef","Serie","AH109","","442.17150071799995"
"mef","Serie","AI109","","455.7861386460001"
"mef","Serie","AJ109","","441.937053499"
"mef","Serie","AK109","","490.20879821499994"
"mef","Serie","AL109","","827.7665410579998"
"mef","Serie","AM109","","419.23189163800009"
"mef","Serie","AN109","","455.62218325599991"
"mef","Serie","AO109","","487.40921469799991"
"mef","Serie","AP109","","495.01753525699996"
"mef","Serie","AQ109","","558.28565532400012"
"mef","Serie","AR109","","527.61217335099991"
"mef","Serie","AS109","","513.80280122099998"
"mef","Serie","AT109","","541.57807564300003"
"mef","Serie","AU109","","528.08090215399989"
"mef","Serie","AV109","","519.41944134300002"
"mef","Serie","AW109","","557.87751955099998"
"mef","Serie","AX109","","1005.2454993820002"
"mef","Serie","AY109","","448.30777311200001"
"mef","Serie","AZ109","","511.23850927500001"
"mef","Serie","BA109","","561.18567601000007"
"mef","Serie","BB109","","550.80349848599997"
"mef","Serie","BC109","","571.82457223400002"
"mef","Serie","BD109","","574.92164361999994"
"mef","Serie","BE109","","589.37342420799985"
"mef","Serie","BF109","","578.71637828200005"
"mef","Serie","BG109","","594.98056801300015"
"mef","Serie","BH109","","640.02372194099996"
"mef","Serie","BI109","","656.60965426799999"
"mef","Serie","BJ109","","1159.4091594639997"
"mef","Serie","BK109","","531.85118530500006"
"mef","Serie","BL109","","608.51103087199999"
"mef","Serie","BM109","","692.12717524200002"
"mef","Serie","BN109","","694.88522248000015"
"mef","Serie","BO109","","642.50722869900017"
"mef","Serie","BP109","BP43-BP57-BP60-BP63-BP75-BP50","648.77288025900009"
"mef","Serie","BQ109","","670.53056281500017"
"mef","Serie","BR109","","647.66270052300001"
"mef","Serie","BS109","","694.75573513599988"
"mef","Serie","BT109","","680.19505638800001"
"mef","Serie","BU109","","750.05747457199993"
"mef","Serie","BV109","","1241.2977214709999"
"mef","Serie","BW109","","590.66509630200005"
"mef","Serie","BX109","","685.77256334500009"
"mef","Serie","BY109","","772.24680568799999"
"mef","Serie","BZ109","","758.13017080399993"
"mef","Serie","CA109","","785.46874172600008"
