codigo,descripcion,nivel,ponderacion_publicada,ponderacion,nota,padre,fuente,archivo_origen
10602000,FRUTAS EN CONSERVA,3,"0,059",0.059,,10600000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10602093,DURAZNO EN CONSERVA,4,"0,059",0.059,,10602000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10700000,HORTALIZAS Y LEGUMBRES,2,"2,845",2.845,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701000,HORTALIZAS Y TUBÉRCULOS FRESCOS,3,"2,561",2.561,,10700000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701094,ACELGA,4,"0,020",0.02,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701095,AJO,4,"0,052",0.052,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701096,CEBOLLA DE CABEZA,4,"0,374",0.374,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701097,CEBOLLA DE HOJA,4,"0,027",0.027,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701098,LECHUGA,4,"0,065",0.065,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701099,LOCOTE VERDE,4,"0,315",0.315,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701100,MANDIOCA,4,"0,289",0.289,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701101,PAPA,4,"0,365",0.365,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701102,PEREJIL,4,"0,021",0.021,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701103,REPOLLO,4,"0,054",0.054,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701104,TOMATE,4,"0,807",0.807,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701105,ZANAHORIA,4,"0,107",0.107,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10701106,ZAPALLO,4,"0,064",0.064,,10701000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10702000,LEGUMBRES SECAS,3,"0,070",0.07,,10700000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10702107,POROTOS SECOS,4,"0,070",0.07,,10702000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10703000,VEGETALES EN CONSERVA,3,"0,214",0.214,,10700000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10703108,ARVEJAS EN CONSERVA,4,"0,042",0.042,,10703000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10703109,CHOCLO EN LATA,4,"0,043",0.043,,10703000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10703110,PAPAS FRITAS PREPARADAS,4,"0,041",0.041,,10703000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10703111,CONSERVA DE TOMATE,4,"0,088",0.088,,10703000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10800000,"AZÚCAR, EDULCORANTES, DULCES Y HELADOS",2,"0,815",0.815,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10801000,AZÚCAR Y EDULCORANTES,3,"0,469",0.469,,10800000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10801112,AZÚCAR,4,"0,415",0.415,,10801000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10801113,EDULCORANTES,4,"0,054",0.054,,10801000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10802000,DULCES Y POSTRES,3,"0,101",0.101,,10800000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10802114,DULCE DE LECHE,4,"0,053",0.053,,10802000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10802115,MERMELADAS DE FRUTAS,4,"0,048",0.048,,10802000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10803000,HELADOS,3,"0,142",0.142,,10800000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10803116,HELADO CREMOSO,4,"0,142",0.142,,10803000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10804000,CARAMELOS,3,"0,104",0.104,,10800000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10804117,CARAMELOS,4,"0,057",0.057,,10804000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10804118,CHOCOLATE,4,"0,047",0.047,,10804000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10900000,CONDIMENTOS Y COMIDAS SEMI PREPARADAS,2,"0,384",0.384,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10901000,SAL Y ESPECIAS,3,"0,103",0.103,,10900000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10901119,SAL FINA,4,"0,036",0.036,,10901000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10901120,CONDIMENTOS NATURALES,4,"0,067",0.067,,10901000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10902000,ADEREZOS,3,"0,220",0.22,,10900000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10902121,KETCHUP,4,"0,051",0.051,,10902000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10902122,MAYONESA,4,"0,131",0.131,,10902000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10902123,SALSA DE SOJA,4,"0,038",0.038,,10902000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10903000,OTRAS COMIDAS SEMI PREPARADAS,3,"0,062",0.062,,10900000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10903124,SOPAS Y CALDOS EN POLVO,4,"0,018",0.018,,10903000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10903125,POLVOS PARA PREPARAR POSTRES,4,"0,044",0.044,,10903000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11000000,"YERBA, CAFÉ, TÉ Y CHOCOLATE",2,"0,686",0.686,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11001000,CAFÉ,3,"0,212",0.212,,11000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11001126,CAFÉ INSTANTÉNEO,4,"0,176",0.176,,11001000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11001127,CAFÉ TORRADO,4,"0,035",0.035,,11001000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11002000,INFUSIONES DE HIERBAS MEDICINALES,3,"0,041",0.041,,11000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11002128,INFUSIONES DE HIERBAS MEDICINALES PARA MATE,4,"0,029",0.029,,11002000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11002129,INFUSIONES DE HIERBAS MEDICINALES PARA TERERÉ,4,"0,012",0.012,,11002000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11003000,YERBA Y TÉ,3,"0,409",0.409,,11000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11003130,TÉ Y COCIDO,4,"0,027",0.027,,11003000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11003131,YERBA COMPUESTA,4,"0,221",0.221,,11003000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11003132,YERBA MATE,4,"0,160",0.16,,11003000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11004000,CHOCOLATE,3,"0,025",0.025,,11000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11004133,CHOCOLATE EN POLVO INSTANTÁNEO,4,"0,025",0.025,,11004000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11100000,BEBIDAS NO ALCOHÓLICAS,2,"1,649",1.649,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11101000,AGUA MINERAL,3,"0,153",0.153,,11100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11101134,AGUA MINERAL,4,"0,153",0.153,,11101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11102000,BEBIDAS GASEOSAS,3,"1,169",1.169,,11100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11102135,GASEOSAS,4,"1,169",1.169,,11102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11103000,JUGOS ENVASADOS,3,"0,327",0.327,,11100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11103136,JUGO EN POLVO,4,"0,061",0.061,,11103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
11103137,JUGO ENVASADO DE FRUTAS,4,"0,266",0.266,,11103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20000000,BEBIDAS ALCOHÓLICAS Y TABACOS,1,"1,279",1.279,,0,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20100000,BEBIDAS ALCOHÓLICAS,2,"1,053",1.053,,20000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20101000,BEBIDAS ALCOHÓLICAS DESTILADAS,3,"0,059",0.059,,20100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20101001,BEBIDAS DESTILADAS,4,"0,019",0.019,,20101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20101002,WHISKY,4,"0,041",0.041,,20101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20102000,VINOS,3,"0,242",0.242,,20100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20102003,VINO,4,"0,242",0.242,,20102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20103000,CERVEZAS,3,"0,751",0.751,,20100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20103004,CERVEZA,4,"0,751",0.751,,20103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20200000,TABACOS,2,"0,226",0.226,,20000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20201000,CIGARRILLOS,3,"0,226",0.226,,20200000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20201005,CIGARRILLO IMPORTADO,4,"0,178",0.178,,20201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
20201006,CIGARRILLO NACIONAL,4,"0,048",0.048,,20201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30000000,VESTIMENTA Y CALZADO,1,"5,185",5.185,,0,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30100000,TELAS Y PRENDAS DE VESTIR,2,"3,447",3.447,,30000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30101000,TELAS,3,"0,037",0.037,,30100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30101001,TELAS PARA PRENDAS DE VESTIR,4,"0,037",0.037,,30101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102000,PRENDAS DE VESTIR PARA CABALLEROS,3,"1,375",1.375,,30100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102002,ANATÓMICO PARA CABALLERO,4,"0,034",0.034,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102003,BÓXER PARA CABALLERO,4,"0,058",0.058,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102004,CAMISA MANGAS LARGAS PARA CABALLERO,4,"0,153",0.153,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102005,CAMISA MANGAS CORTAS PARA CABALLERO,4,"0,085",0.085,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102006,CAMPERA PARA CABALLERO,4,"0,057",0.057,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102007,CONJUNTO DE BUZO PARA CABALLERO,4,"0,042",0.042,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102008,MEDIAS PARA CABALLERO,4,"0,018",0.018,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102009,PANTALÓN PARA CABALLERO,4,"0,085",0.085,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102010,PANTALÓN VAQUERO PARA CABALLERO,4,"0,484",0.484,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102011,REMERA CON CUELLO MANGAS CORTAS PARA CABALLERO,4,"0,168",0.168,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102012,REMERA DE ALGODÓN PARA CABALLERO,4,"0,081",0.081,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102013,SHORT PARA CABALLERO,4,"0,049",0.049,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30102014,TRAJE PARA CABALLERO,4,"0,062",0.062,,30102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103000,PRENDAS DE VESTIR PARA DAMAS,3,"1,322",1.322,,30100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103015,BIKINI PARA DAMA,4,"0,047",0.047,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103016,BOMBACHA PARA DAMA,4,"0,044",0.044,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103017,BLUSA PARA DAMA,4,"0,149",0.149,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103018,CALZA PARA DAMA,4,"0,057",0.057,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103019,CAMISA PARA DAMA,4,"0,058",0.058,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103020,CAMPERA PARA DAMA,4,"0,037",0.037,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103021,CONJUNTO DE BUZO PARA DAMA,4,"0,037",0.037,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103022,CONJUNTO DE VESTIR PARA DAMA,4,"0,048",0.048,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103023,MEDIA DE NYLON PARA DAMA,4,"0,040",0.04,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103024,PANTALÓN DE VESTIR PARA DAMA,4,"0,056",0.056,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103025,PANTALÓN VAQUERO PARA DAMA,4,"0,379",0.379,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103026,REMERA PARA DAMA,4,"0,101",0.101,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103027,SHORT PARA DAMA,4,"0,046",0.046,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103028,SOSTÉN PARA DAMA,4,"0,052",0.052,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30103029,VESTIDO PARA DAMA,4,"0,170",0.17,,30103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104000,PRENDAS DE VESTIR PARA NIÑOS Y NIÑAS,3,"0,567",0.567,,30100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104030,CONJUNTO PARA NIÑAS,4,"0,036",0.036,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104031,PANTALÓN VAQUERO PARA NIÑOS Y NIÑAS,4,"0,034",0.034,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104032,POLLERA DE ALGODÓN PARA NIÑAS,4,"0,029",0.029,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104033,REMERA PARA NIÑAS,4,"0,037",0.037,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104034,ROPA INTERIOR PARA NIÑAS,4,"0,019",0.019,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104035,UNIFORME ESCOLAR PARA NIÑAS,4,"0,035",0.035,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104036,UNIFORME DE GIMNASIA PARA NIÑOS Y NIÑAS,4,"0,031",0.031,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104037,VESTIDO PARA NIÑAS,4,"0,033",0.033,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104038,CAMISA DE VESTIR PARA NIÑOS,4,"0,030",0.03,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104039,CONJUNTO DE BUZO PARA NIÑOS,4,"0,034",0.034,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104040,PANTALÓN VESTIR PARA NIÑOS,4,"0,049",0.049,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104041,REMERA PARA NIÑOS,4,"0,064",0.064,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104042,ROPA INTERIOR PARA NIÑOS,4,"0,019",0.019,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104043,SHORT PARA NIÑOS Y NIÑAS,4,"0,031",0.031,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30104044,UNIFORME ESCOLAR PARA NIÑOS,4,"0,085",0.085,,30104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30105000,PRENDAS DE VESTIR PARA BEBÉ,3,"0,145",0.145,,30100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30105045,CONJUNTO PARA BEBÉ,4,"0,084",0.084,,30105000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30105046,OSITO PARA BEBÉ,4,"0,061",0.061,,30105000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30200000,ACCESORIOS DE VESTIR,2,"0,039",0.039,,30000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30201000,ACCESORIOS,3,"0,039",0.039,,30200000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30201047,CINTO PARA CABALLERO,4,"0,021",0.021,,30201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30201048,CORBATAS,4,"0,018",0.018,,30201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30300000,SERVICIOS DE VESTIMENTA,2,"0,128",0.128,,30000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30301000,SERVICIOS DE VESTIMENTA,3,"0,128",0.128,,30300000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30301049,CONFECCIÓN DE PRENDAS DE VESTIR,4,"0,041",0.041,,30301000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30301050,LAVADO DE PRENDAS DE VESTIR,4,"0,087",0.087,,30301000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30400000,CALZADOS,2,"1,570",1.57,,30000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30401000,CALZADOS PARA CABALLEROS,3,"0,688",0.688,,30400000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30401051,BOTAS DE CUERO PARA CABALLERO,4,"0,070",0.07,,30401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30401052,ZAPATILLAS PARA CABALLERO,4,"0,036",0.036,,30401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30401053,ZAPATOS DE VESTIR PARA CABALLERO,4,"0,130",0.13,,30401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30401054,ZAPATOS DEPORTIVOS PARA CABALLERO,4,"0,452",0.452,,30401000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402000,CALZADOS PARA DAMAS,3,"0,589",0.589,,30400000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402055,BOTAS DE CUERO PARA DAMA,4,"0,092",0.092,,30402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402056,CHATITAS PARA DAMA,4,"0,044",0.044,,30402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402057,SANDALIAS PARA DAMA,4,"0,060",0.06,,30402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402058,SUECOS PARA DAMA,4,"0,046",0.046,,30402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402059,ZAPATOS TACÓN ALTO PARA DAMA,4,"0,107",0.107,,30402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402060,ZAPATOS TACÓN BAJO PARA DAMA,4,"0,075",0.075,,30402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
30402061,ZAPATOS DEPORTIVOS PARA DAMA,4,"0,164",0.164,,30402000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
