attempt_id,source_id,vintage_id,stage,elapsed_seconds,recorded_at
attempt:2305af6de17f489900d0afb8,financial_indicators,financial_indicators:f9ded3c4fe24e11b14caa1df,source_total,0.17599999999999927,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,interbank_market,interbank_market:dbcda6fadd28e3dd5bb3afc2,reuse_and_validation,0.1769999999999996,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,interbank_market,interbank_market:dbcda6fadd28e3dd5bb3afc2,source_total,0.1819999999999995,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,securities_trades,securities_trades:80f03b3d8b9c898031344ee4,reuse_and_validation,0.14999999999999947,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,securities_trades,securities_trades:80f03b3d8b9c898031344ee4,source_total,0.15399999999999991,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,lrm_auctions,lrm_auctions:b7e160f57d37a215d182eaef,reuse_and_validation,0.16199999999999992,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,lrm_auctions,lrm_auctions:b7e160f57d37a215d182eaef,source_total,0.16699999999999982,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,compensatory_fx_sales,compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,reuse_and_validation,0.14200000000000035,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,compensatory_fx_sales,compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,source_total,0.1479999999999997,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,NA,NA,concept_mappings,0.06399999999999917,2026-09-14T23:20:56Z
attempt:2305af6de17f489900d0afb8,NA,NA,table_reconciliation,0.3199999999999985,2026-09-14T23:20:57Z
attempt:2305af6de17f489900d0afb8,NA,NA,source_region_classification,0.43900000000000006,2026-09-14T23:20:57Z
attempt:2305af6de17f489900d0afb8,NA,NA,table_status_and_domains,0.06300000000000061,2026-09-14T23:20:57Z
attempt:2305af6de17f489900d0afb8,NA,NA,series_semantics,1.205,2026-09-14T23:20:58Z
attempt:2305af6de17f489900d0afb8,NA,NA,observation_missingness,17.322000000000003,2026-09-14T23:21:16Z
attempt:2305af6de17f489900d0afb8,NA,NA,governance_registers,0.5829999999999984,2026-09-14T23:21:16Z
attempt:2305af6de17f489900d0afb8,NA,NA,mart_views,0.3719999999999999,2026-09-14T23:21:17Z
attempt:2305af6de17f489900d0afb8,NA,NA,reports,0.5629999999999988,2026-09-14T23:21:19Z
attempt:2305af6de17f489900d0afb8,NA,NA,validation,34.881,2026-09-14T23:21:53Z
attempt:2305af6de17f489900d0afb8,NA,NA,quality_screens,0.9300000000000068,2026-09-14T23:21:54Z
attempt:2305af6de17f489900d0afb8,NA,NA,quality_flag_report,0.027000000000001023,2026-09-14T23:21:54Z
