check_id,release_id,vintage_id,severity,check_name,source_id,source_sheet,detail,created_at,attempt_id,scope_type,series_id,period,status,test_version,waiver_evidence
9760f123ef85ded43e8636889f92a92044bc06b0eb59ab6a1532246d9cb5e822,release:dcbccb827b93ee2362ab3c56,NA,warning,source_region_unreviewed,NA,NA,"6,522 published numeric cell(s) across 49 worksheet(s) sit outside every parser region and have no rule in config/source_region_rules.csv saying what they are, so no worksheet they touch can be promoted to validated. See outputs/source_region_review_worklist.csv. Largest: economic_annex/Cuadro 47 (   88); liquidity_facility/ADM- LIQ- DEPOSITO (  614); lrm_auctions/Subastas 2020 (  144); banking_indicators/Índice (    7); exchange_rates/USD Fin Mes (1,529)",2026-09-14T23:21:19Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
c5489b1e18c30c86299bc85bb580f87594014335bc4cb890e46f0c02f8d9f45b,release:dcbccb827b93ee2362ab3c56,NA,warning,source_region_rule_unused,NA,NA,30 source-region rule(s) match no out-of-region cell. Either the coordinates are wrong or the parser has since been repaired: rule:7f2c2af04692e012a9446012; rule:86a104c72842c81868613200; rule:9a778de4f960d68d8772b032; rule:14c7c13c936377e988311377; rule:66062913f3df395eaa588deb,2026-09-14T23:20:57Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
eea91733f164e915d73368a08c82c8f271582da7d43dbbe29a53e91efc800178,release:dcbccb827b93ee2362ab3c56,NA,warning,published_identity_incomplete,NA,NA,"5 identity(ies) have period(s) where the publisher gives the total but not every component, so the equality cannot be tested there: payments/SIPAP_12 TOTAL SPI (I) — Cantidad: 50 of 51 period(s) publish the total without every component | payments/SIPAP_12 TOTAL SPI (I) — Importe Destino: 50 of 51 period(s) publish the total without every component | payments/SIPAP_12 TOTAL ALIAS (C) — Cantidad: 20 of 35 period(s) publish the total without every component | payments/SIPAP_12 TOTAL ALIAS (C) — Importe Destino: 20 of 35 period(s) publish the total without every component | interbank_market/Datos Mercado Interbancario de Fondos — Monto: 3277 of 3287 period(s) publish the total without every component",2026-09-14T23:21:19Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
82044d29ca7e0c191b331d5362db9430b9db3befa58c5f611f6a34537080d76d,release:dcbccb827b93ee2362ab3c56,NA,warning,source_provenance_incomplete,NA,NA,"22 source vintage(s) have no official URL, release identifier, retrieval timestamp or retrieval method in config/source_vintages.csv, so they cannot be independently re-acquired. See outputs/source_provenance_status.csv.",2026-09-14T23:21:19Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
717036e5cb0ffa07f15a9678b2aa6d63722b09263facf513aa5b6cd58af96eae,release:dcbccb827b93ee2362ab3c56,NA,warning,availability_inferred_upper_bound,NA,NA,"22 of 22 vintage(s) date availability from the moment the file entered the immutable archive rather than from a publisher's release timestamp. The bound is safe -- it is later than real availability, so an as-of query sees less than a researcher could have seen and never more -- but it is not evidence of when the publication appeared, and a real-time claim must not be made from it. outputs/source_provenance_worklist.csv names the missing field per vintage; docs/ACQUISITION_RUNBOOK.md is the procedure that stops this recurring for future releases.",2026-09-14T23:21:19Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
b914b9b802070719e34cf9b1a43be2388fe9e211734ad915f80f3e479f82e7b4,release:dcbccb827b93ee2362ab3c56,NA,warning,temporal_convention_mixed,NA,NA,"164 monthly series change day convention inside their own history. The normalised bounds make a join over them safe, so this does not block; what it does mean is that the raw `period` column of these series is not a regular index and must not be differenced or lagged directly. Ranked in outputs/temporal_convention_worklist.csv.",2026-09-14T23:21:38Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
7751dcda7a096c2e897a0ae9dbd4af6647c2b8a7840377f796ae59743fff1b5d,release:dcbccb827b93ee2362ab3c56,NA,warning,dirty_tree_build_overridden,NA,NA,"PARAGUAY_MACRO_ALLOW_DIRTY_BUILD=1: this database was built from a working tree with uncommitted tracked changes at commit 98370c2c26f8162401cf6e0e3eb3019ef7f687c1. It is a development build. The code that produced it is not in the history, so the build cannot be reproduced from the commit it names, and it must not be cited as a research release.",2026-09-14T23:21:38Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
fc56649ce77cf3f3da9dec4e5ea5d86f88ad9f41f53da08604cb98dfeb2296b0,release:dcbccb827b93ee2362ab3c56,NA,warning,observation_missingness_recorded,NA,NA,"Expected-period absence is recorded with a reason for 20,647 period(s): no_movement 18,416; blank_in_source  1,740; period_absent_from_axis    491. A validated worksheet may not carry unreviewed or unread absence.",2026-09-14T23:21:38Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
16df94c296438044653d9ea8ac29a580366d0040ca1c49a373f49a2cdf0f97d0,release:dcbccb827b93ee2362ab3c56,NA,warning,publisher_statement_contains_projections,NA,NA,"343 observation(s) across 186 series in main.v_publisher_statement_latest are dated after the vintage that published them. That view is the publisher's current statement and holds them by design; main.v_series_latest excludes them and marts.v_series_projections is the complement. By source: economic_annex (313, to 2028-12-01); fx_operations (30, to 2026-12-31)",2026-09-14T23:21:39Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
07a8ada2712f5d11e578af9de0e8b719bdb9bd37879f62eddfc7681bc2407bba,release:dcbccb827b93ee2362ab3c56,NA,warning,workbook_cached_formulas_and_hidden_state,NA,NA,"91,673 cell(s) across 104 worksheet(s) hold a cached formula result rather than a typed value, and 34 worksheet(s) hide rows or columns. Neither is a defect, and neither can be seen from the cell values: whether the publisher recalculated before shipping, and whether a hidden row was meant to be read, are questions for the publisher. 15,403 published observation(s) across 13 worksheet(s) come from rows the publisher hid: economic_annex/CUADRO 32 (4342); economic_annex/Cuadro 21 a (2803); economic_annex/CUADRO 56a (2194); economic_annex/CUADRO 33 (1032); economic_annex/CUADRO 59 (1020). See outputs/workbook_behaviour_latest.csv.",2026-09-14T23:21:39Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
ff3421411c8568f30effed0e175c50b4d80674e5ffbe703b2ce1a22d29264171,release:dcbccb827b93ee2362ab3c56,NA,warning,publication_date_source_contradicts_content,NA,NA,"The publication date is recorded as the maximum period in the content, but the content reaches further. Record the official release date in config/source_vintages.csv or review the parser: fx_operations (recorded 2026-07-31, content reaches 2026-12-31)",2026-09-14T23:21:51Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
5d2f463d303b90f8e8be08c134e6f7fb9ff1798fd488539f8f43243fc1eb617b,release:dcbccb827b93ee2362ab3c56,NA,warning,publication_date_inferred_from_content,NA,NA,"22 source vintage(s) have no official release date in config/source_vintages.csv, so availability is inferred from the filename or the content: bank_reference (pending_content_inference); banking_indicators (filename); banks (filename); bcp_fx_daily (content_max_period); compensatory_fx_sales (content_max_period); corporate_bond_curves (content_max_period); credit_survey (content_max_period); direct_investment (content_max_period); economic_annex (filename); eve (filename); exchange_houses (filename); exchange_rates (filename); financial (filename); financial_indicators (filename); fx_operations (content_max_period); icc (content_max_period); insurance_annex (content_max_period); interbank_market (content_max_period); liquidity_facility (content_max_period); lrm_auctions (content_max_period); payments (filename); securities_trades (content_max_period)",2026-09-14T23:21:51Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
de1e9e56a79646db807cd20e4b41dcef2b41052334442438d3990e036d1200be,release:dcbccb827b93ee2362ab3c56,NA,warning,regular_period_gaps,NA,NA,499 regular-frequency series skip at least one expected period (24149 periods in total). Expected for series that start late or pause; see outputs/gap_screen_latest.csv.,2026-09-14T23:21:54Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
8b19b9b50bce9acccad4d9741daf65c22890cb8f9f1152e73881acbe9128168e,release:dcbccb827b93ee2362ab3c56,NA,warning,discontinuity_screen,NA,NA,"38433 observations in 2611 series move more than ten times the series' own median absolute change. A screen for source and methodology review, not proof of an error; see outputs/discontinuity_screen_latest.csv.",2026-09-14T23:21:54Z,attempt:2305af6de17f489900d0afb8,release,NA,NA,open,schema_40,NA
