vintage_id,source_id,source_sheet,release_id,numeric_source_cells,accepted_observations,rejected_observations,documented_exclusions,many_to_one_allowance,balance_delta,status,note,checked_at,accepted_cells,cell_reuse,unmapped_in_region,out_of_region_cells,classified_cells,unclassified_cells,parser_defect_cells
payments:de7b4a670c8e2d7430cd91d6,payments,MIHA 01,release:dcbccb827b93ee2362ab3c56,153,153,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,153,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,AFD 02,release:dcbccb827b93ee2362ab3c56,765,765,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,765,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,AFD 04,release:dcbccb827b93ee2362ab3c56,306,306,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,306,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 23b,release:dcbccb827b93ee2362ab3c56,768,672,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,672,0,0,96,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 33,release:dcbccb827b93ee2362ab3c56,2246,1854,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1854,0,0,392,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 41,release:dcbccb827b93ee2362ab3c56,3830,3822,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3822,0,0,8,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 43,release:dcbccb827b93ee2362ab3c56,3550,3128,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3128,0,0,422,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 52b,release:dcbccb827b93ee2362ab3c56,48574,47424,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,47424,0,0,1150,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2016,release:dcbccb827b93ee2362ab3c56,1107,747,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,747,0,0,360,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.28,release:dcbccb827b93ee2362ab3c56,1768,1768,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1768,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.35,release:dcbccb827b93ee2362ab3c56,102,102,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,102,0,0,0,0,0,0
exchange_rates:a822c1e0cb97438c1bde2836,exchange_rates,Cotizaciones Diarias,release:dcbccb827b93ee2362ab3c56,830,644,0,83,0,0,balanced,Every numeric cell in the parsed region is an observation or a classified non-observation (83 classified).,2026-09-14T23:20:57Z,644,0,83,103,83,0,0
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2014(DatosDiarios),release:dcbccb827b93ee2362ab3c56,3237,2988,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,2988,0,0,249,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_02,release:dcbccb827b93ee2362ab3c56,908,908,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,908,0,0,0,0,0,0
